COMPRAS PM (EDITABLE)							
							
Fecha	OC	Codigo	Descripcion	Proveedor	Costo PM CLP	Regla	Estado OC
16-02-2026	DEMO-02-7643	CD-87	SC-02-6085 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $5.764,70 	Prorrateo MAN	OC Aprobada
16-02-2026	DEMO-02-7643	CD-88	SC-02-6085 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $5.764,70 	Prorrateo MAN	OC Aprobada
16-02-2026	DEMO-02-7643	CD-89	SC-02-6085 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $5.764,70 	Prorrateo MAN	OC Aprobada
16-02-2026	DEMO-02-7643	CD-90	SC-02-6085 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $5.764,70 	Prorrateo MAN	OC Aprobada
16-02-2026	DEMO-02-7643	CD-91	SC-02-6085 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $5.764,70 	Prorrateo MAN	OC Aprobada
16-02-2026	DEMO-02-7643	CD-94	SC-02-6085 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $5.764,70 	Prorrateo MAN	OC Aprobada
16-02-2026	DEMO-02-7652	CD-69	SC-02 KIT DE FILTROS SCANIA CD-69	COM. PUENTES DE MAULE LTDA.	 $162.393,35 	Directo Equipo	OC Aprobada
17-02-2026	DEMO-02-7664	CD-45	SC-02-FILTROS CD-45	COM. PUENTES DE MAULE LTDA.	 $108.651,76 	Directo Equipo	OC Aprobada
18-02-2026	DEMO-02-7663	CD-45	SC-02-FILTROS CD-45	SALINAS Y FABRES	 $59.673,74 	Directo Equipo	OC Enviada a Proveedor
18-02-2026	DEMO-02-7668	CD-119	SC-02-6089 KIT DE FILTROS CD-119	AUTOMOTORA ALAMEDA SPA	 $201.663,35 	Directo Equipo	OC Aprobada
19-02-2026	DEMO-02-7672	CD-88	SC-02-6090 FILTROS CD-88	AUTOMOTORA ALAMEDA SPA	 $402.316,39 	Directo Equipo	OC Aprobada
19-02-2026	DEMO-02-7676	MD-84	SC-02-6093 KIT FILTROS MD-84	SALINAS Y FABRES	 $456.581,58 	Directo Equipo	OC Enviada a Proveedor
20-02-2026	DEMO-02-7682		SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-103	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-104	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-105	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682		SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-107	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-120	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-121	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-122	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-123	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-124	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-87	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-88	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
